neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
Oostelijk Havengebied - Indische Buurt;5.236.435;494.358;Private room;49;3;305;14;25
Centrum-Oost;5.236.407;489.393;Private room;106;1;339;0;0
Centrum-West;5.238.761;489.188;Private room;136;2;231;121;8
Centrum-West;5.236.775;489.092;Private room;75;2;428;117;75
Centrum-Oost;5.236.584;489.111;Private room;55;2;582;160;86
Centrum-Oost;5.237.168;491.471;Entire home/apt;240;3;44;0;3
Centrum-West;5.238.028;489.089;Entire home/apt;245;3;433;165;58
Centrum-West;5.236.811;488.262;Private room;124;2;346;236;37
Centrum-Oost;52.358.112;4.897.637;Entire home/apt;250;3;63;0;3
Zuid;5.235.597;488.512;Entire home/apt;149;4;95;9;0
Oud-Oost;5.236.431;493.122;Entire home/apt;120;2;36;0;1
Centrum-West;5.237.828;48.944;Private room;82;3;228;0;4
Centrum-West;5.236.968;488.122;Entire home/apt;119;2;949;266;74
De Pijp - Rivierenbuurt;5.235.774;489.647;Private room;165;1;90;66;46
Slotervaart;5.234.801;483.639;Private room;65;2;239;279;42
Zuid;5.235.665;486.363;Entire home/apt;115;14;55;0;2
De Pijp - Rivierenbuurt;5.235.178;490.699;Entire home/apt;265;2;101;57;4
Oud-Oost;523.642;492.829;Entire home/apt;200;3;21;0;0
De Baarsjes - Oud-West;523.627;485.693;Entire home/apt;175;3;63;238;3
Centrum-West;5.237.956;489.359;Private room;88;3;268;0;5
Centrum-West;5.238.104;488.306;Entire home/apt;195;7;26;158;3
De Baarsjes - Oud-West;5.236.768;486.646;Entire home/apt;120;3;103;0;0
De Pijp - Rivierenbuurt;5.234.332;489.484;Entire home/apt;305;21;31;300;4
De Baarsjes - Oud-West;523.683;485.446;Private room;88;1;382;5;13
Centrum-West;5.237.548;489.398;Entire home/apt;200;2;247;119;54
Centrum-Oost;5.236.057;489.671;Private room;118;3;658;2;51
Centrum-West;5.237.169;489.446;Private room;115;3;175;0;6
Centrum-West;5.236.883;488.749;Private room;300;2;15;232;5
De Baarsjes - Oud-West;5.236.271;485.875;Entire home/apt;119;3;138;0;3
Centrum-West;5.236.815;488.604;Entire home/apt;551;2;156;274;44
De Baarsjes - Oud-West;5.236.707;487.348;Private room;122;2;368;273;25
Centrum-Oost;5.236.936;490.963;Entire home/apt;350;4;13;196;2
Centrum-West;5.237.122;488.211;Entire home/apt;296;2;62;0;12
De Pijp - Rivierenbuurt;5.234.416;488.709;Private room;318;2;132;291;36
Zuid;5.235.695;485.234;Private room;88;3;113;0;0
Bos en Lommer;5.237.977;485.574;Entire home/apt;88;4;43;0;0
Centrum-West;5.236.563;488.454;Entire home/apt;300;3;39;5;4
;;;;;;;;
Geuzenveld - Slotermeer;5.237.725;483.307;Entire home/apt;130;4;4;261;1
Centrum-West;5.237.561;4.9;Private room;171;3;329;232;37
Centrum-West;5.237.561;4.9;Private room;161;3;386;231;44
Oud-Oost;5.235.179;491.082;Private room;105;3;213;305;4
Centrum-West;5.237.239;489.657;Private room;151;2;192;263;64
Oud-Oost;523.623;492.028;Entire home/apt;88;3;52;0;0
Centrum-Oost;5.235.931;489.844;Entire home/apt;200;4;31;0;8
Centrum-Oost;5.236.733;492.055;Entire home/apt;911;2;102;298;3
Centrum-Oost;5.235.871;489.616;Entire home/apt;125;3;2;0;0
Centrum-Oost;5.235.972;48.975;Private room;95;3;35;0;0
Centrum-West;5.237.104;487.713;Entire home/apt;225;5;85;324;4
De Pijp - Rivierenbuurt;5.235.669;490.187;Entire home/apt;239;1;453;92;64
De Pijp - Rivierenbuurt;5.235.625;489.323;Private room;239;2;541;0;6
De Baarsjes - Oud-West;523.606;485.739;Entire home/apt;220;2;27;0;0
Oud-Oost;5.235.715;490.926;Private room;99;3;430;178;40
IJburg - Zeeburgereiland;5.236.129;498.845;Entire home/apt;395;7;4;257;1
De Baarsjes - Oud-West;5.236.348;487.648;Entire home/apt;255;2;113;17;20
Centrum-Oost;5.236.738;489.671;Private room;136;2;448;94;32
Centrum-Oost;5.236.263;490.216;Entire home/apt;199;5;13;32;2
De Baarsjes - Oud-West;52.364;487.814;Entire home/apt;178;3;74;0;4
De Pijp - Rivierenbuurt;5.235.465;49.061;Private room;399;3;86;18;4
Watergraafsmeer;5.235.338;493.407;Private room;139;2;237;103;38
Zuid;5.235.043;484.676;Entire home/apt;110;4;8;3;1
Oostelijk Havengebied - Indische Buurt;5.236.905;493.528;Entire home/apt;152;2;77;243;7
Centrum-Oost;523.609.619.140.625;488.822.603.225.708;Entire home/apt;250;5;26;82;2
De Pijp - Rivierenbuurt;5.235.503;490.516;Entire home/apt;126;3;142;7;19
De Baarsjes - Oud-West;5.236.116;486.608;Private room;129;4;216;273;2
Zuid;52.341.621;4.849.049;Entire home/apt;200;3;120;6;10
Oostelijk Havengebied - Indische Buurt;5.237.281;494.303;Entire home/apt;150;3;39;2;5
De Baarsjes - Oud-West;5.237.001;485.646;Private room;80;2;451;220;49
De Baarsjes - Oud-West;5.235.927;486.529;Private room;119;4;331;42;3
Centrum-Oost;5.237.006;490.081;Entire home/apt;275;3;118;201;38
Centrum-West;523.739;489.263;Entire home/apt;176;3;38;0;4
Westerpark;5.239.134;489.067;Private room;100;2;490;250;52
Slotervaart;523.509;483.293;Private room;100;2;37;0;0
De Baarsjes - Oud-West;5.236.812;485.422;Entire home/apt;160;1;30;5;6
Zuid;523.543;487.701;Entire home/apt;120;5;11;0;0
Centrum-Oost;5.236.412;488.757;Entire home/apt;475;3;61;92;1
Zuid;5.235.482;487.438;Private room;154;3;145;172;18
Centrum-West;5.237.694;488.003;Entire home/apt;600;2;62;343;0
Noord-Oost;5.239.675;499.603;Private room;120;2;2;296;0
Centrum-Oost;5.235.902;489.606;Private room;165;3;201;148;20
Zuid;5.235.022;48.525;Entire home/apt;159;3;84;16;7
Centrum-West;5.237.827;488.568;Entire home/apt;440;3;23;174;0
Bos en Lommer;523.774;4.851;Entire home/apt;180;6;25;0;2
Westerpark;5.239.114;488.846;Private room;110;2;238;282;33
Watergraafsmeer;52.354;493.965;Entire home/apt;140;5;57;0;0
De Baarsjes - Oud-West;5.237.126;486.241;Entire home/apt;200;2;54;0;7
Westerpark;5.238.444;486.916;Entire home/apt;80;2;162;1;0
Buitenveldert - Zuidas;5.233.558;486.878;Entire home/apt;125;3;26;0;6
Centrum-Oost;5.237.079;490.153;Entire home/apt;108;3;109;0;6
Zuid;5.234.904;486.765;Private room;75;4;378;211;9
De Baarsjes - Oud-West;523.676;485.976;Entire home/apt;150;3;10;0;0
Centrum-Oost;5.236.112;489.462;Entire home/apt;245;5;18;9;1
Westerpark;5.239.144;488.436;Private room;125;2;521;17;52
Slotervaart;5.236.022;484.346;Entire home/apt;163;5;11;132;1
Oud-Noord;5.239.442;491.478;Entire home/apt;170;5;20;0;0
Centrum-Oost;5.236.918;491.316;Entire home/apt;360;3;223;230;40
De Baarsjes - Oud-West;5.236.809;485.436;Entire home/apt;140;4;43;7;3
Zuid;5.234.788;48.506;Entire home/apt;380;2;17;0;6
Westerpark;5.237.621;487.075;Private room;177;1;368;334;72
Centrum-West;52.381.996;4.888.583;Private room;120;1;738;50;103
Noord-Oost;5.241.016;496.369;Private room;87;2;399;269;25
IJburg - Zeeburgereiland;5.236.368;49.794;Private room;87;1;290;238;11
De Baarsjes - Oud-West;5.236.247;486.534;Entire home/apt;450;3;25;0;5
Centrum-West;52.381.996;4.888.583;Private room;128;1;478;51;83
Zuid;5.235.094;488.552;Entire home/apt;100;7;14;0;0
Westerpark;5.238.388;486.562;Entire home/apt;109;14;148;48;4
Buitenveldert - Zuidas;5.232.237;486.024;Entire home/apt;240;6;18;0;2
De Baarsjes - Oud-West;5.236.976;487.374;Entire home/apt;250;3;29;55;0
Centrum-West;5.237.167;48.948;Hotel room;113;1;754;88;65
Centrum-West;5.237.098;489.434;Hotel room;125;1;656;95;69
De Baarsjes - Oud-West;5.236.188;487.694;Private room;189;3;117;37;6
Watergraafsmeer;523.551;493.262;Entire home/apt;275;28;40;31;3
Oud-Noord;5.238.537;490.241;Entire home/apt;87;30;63;297;0
Noord-West;5.241.878;489.397;Entire home/apt;146;5;23;337;7
Centrum-Oost;5.236.716;490.462;Entire home/apt;571;2;56;0;5
De Pijp - Rivierenbuurt;5.234.557;48.962;Private room;81;1;530;80;84
Geuzenveld - Slotermeer;5.238.296;483.786;Private room;73;4;331;318;32
Centrum-Oost;523.737;492.581;Entire home/apt;120;14;88;65;4
Centrum-West;52.374;489.902;Private room;188;2;483;309;51
De Baarsjes - Oud-West;5.235.925;48.514;Entire home/apt;95;1;11;37;0
De Baarsjes - Oud-West;5.236.706;486.465;Entire home/apt;149;3;57;0;4
